AccessSize,Read,Write(ntstore),Write(clwb)
64,93.35,74.7625,26.3125
128,94.4125,74.25,25.8125
256,96.475,76.7875,26.025
512,96.0875,76.9,26.125
1024,96.6625,77.325,25.8125
2048,98.0875,76.75,26.1125
4096,98.725,76.625,26.025
8192,99.2625,77.35,25.9875
16384,98.825,77.3625,26.08554688
32768,99.525,77.1,26.125
65536,100.0375,77.2875,26.0875
131072,100.1,77.0625,26.125
262144,100.125,78.3375,26.3625
524288,100.6625,77.15,25.9375
1048576,101.2625,77.125,26.1
2097152,101.45,76.84,26.3
