Threads,Read,Write(ntstore),Write(clwb)
1,2.92,2.22,1.44
2,5.66,2.21,1.79
3,6.45,2.21,1.79
4,6.52,2.20,1.71
5,6.51,2.12,1.64
6,6.50,1.96,1.55
7,6.50,1.73,1.48
8,6.46,1.53,1.40
9,6.39,1.37,1.30
10,6.29,1.25,1.21
11,6.14,1.16,1.12
12,5.91,1.12,1.08
13,5.60,1.02,1.06
14,5.25,0.98,0.98
15,4.97,0.94,0.96
16,4.73,0.94,0.88
17,4.59,0.93,0.90
18,4.30,0.84,0.84
19,4.16,0.89,0.89
20,4.10,0.86,0.85
21,4.02,0.84,0.82
22,3.97,0.78,0.84
23,3.91,0.81,0.81
24,3.89,0.80,0.82
