,6 Threads,3 Threads,2 Threads,1 Thread
64,6.740039063,8.930078125,9.43515625,8.753515625
128,18.31015625,18.96972656,18.36660156,19.86347656
256,34.32109375,34.43222656,33.03945313,35.58183594
512,34.78203125,35.97304688,36.35703125,38.778125
1024,32.97578125,34.840625,35.8140625,39.0796875
2048,28.9375,32.490625,34.4578125,38.865625
4096,26.86875,29.803125,32.93125,38.440625
